target_name,force_sum_N,contact_x_m,contact_y_m,contact_z_m,est_x_m,est_y_m,est_z_m,contact_error_m,contact_error_mm,nx,ny,nz,FT1_force_mag_N,FT2_force_mag_N,FT3_force_mag_N,FT4_force_mag_N,FT5_force_mag_N
Target_001,10.000000000000002,0.1040198416193828,-0.1310304858336927,-0.1095941801906696,0.053072760746954196,-0.06738888888607,-0.16007319047979987,0.0958852876683152,95.8852876683152,0.5200992080969141,-0.6551524291684637,-0.5479709009533481,1.88281951476736,3.576541133687543,0.0,0.002435512691110647,4.538203838853987
Target_002,10.000000000000002,-0.0272222425514465,-0.1658031527522083,-0.1084816300020334,-0.014169949482555977,-0.09024676368077791,-0.16018728126456735,0.09248029334054014,92.48029334054014,-0.1361112127572326,-0.8290157637610418,-0.5424081500101673,1.90136857689569,0.5334220950281542,0.0,1.4876761300935009,6.077533197982656
Target_003,10.0,0.0495439393474582,-0.0856140367039913,-0.1738264502116493,0.025466645121636676,-0.04400744710428809,-0.16699752171047538,0.04855366783085553,48.55366783085553,0.247719696737291,-0.4280701835199567,-0.8691322510582468,3.008588352773837,2.484003793702954,0.38740075321632744,0.7689907023143254,3.3510163979925562
Target_004,10.000000000000002,-0.0528370833662608,-0.1136061602225464,-0.1558906122280489,-0.02760837913215879,-0.059361375445936074,-0.16536247349874833,0.06056979733104567,60.56979733104567,-0.2641854168313045,-0.568030801112732,-0.7794530611402447,2.7427596013637183,0.5992990080952874,0.10089722835139354,2.4585439701827783,4.098500192006824
Target_005,9.999999999999998,-0.136477960016223,-0.105509917178954,-0.1011999199935478,-0.07007745472687148,-0.05300576161888782,-0.15901726248908468,0.10251126058635238,102.51126058635238,-0.682389800081115,-0.5275495858947704,-0.5059995999677391,1.7111450544440654,0.0,0.0,4.719261280539437,3.569593665016496
Target_006,10.0,-0.0871313276080824,-0.0652078690879982,-0.1677976923508052,-0.04508308378578639,-0.03373955047270644,-0.16647366193400379,0.052536301178874284,52.53630117887428,-0.4356566380404121,-0.3260393454399914,-0.8389884617540263,2.9234183930780695,0.3378111524151746,0.5463834988949646,3.373863939246683,2.818523016365108
Target_007,9.999999999999998,-0.0426152529560398,-0.0732502679858223,-0.1811583242787864,-0.02170415724497433,-0.0373067205829051,-0.1676010944859795,0.04373798124511541,43.73798124511541,-0.2130762647801991,-0.3662513399291119,-0.9057916213939322,3.1067181792502816,0.9084999250644596,0.5511413721739974,2.3701339029559345,3.0635066205553256
Target_008,10.000000000000002,-0.1680489092905293,-0.0520615551086653,-0.0951270653701187,-0.09275713454002654,-0.026529927978257338,-0.15853204584047365,0.10169024966757,101.69024966757,-0.8402445464526467,-0.2603077755433265,-0.4756353268505939,1.6322577562356357,0.0,0.16726679738207906,6.246590365398638,1.9538850809836483
Target_009,10.000000000000004,-0.1138338599482684,-0.0122094120658699,-0.1639901905184691,-0.05911362952900164,-0.006340316158625854,-0.16612957177453416,0.05507564666951155,55.07564666951155,-0.5691692997413422,-0.0610470603293497,-0.8199509525923456,2.8674756650237665,0.13411752073138222,1.2281956538454317,4.115036406493897,1.6551747539055255
Target_010,10.000000000000002,-0.1304120978312433,0.0347639834071567,-0.1475945466367953,-0.0684039081896261,0.01823444579785856,-0.16452589925983077,0.06636951030295112,66.36951030295111,-0.6520604891562167,0.1738199170357836,-0.7379727331839767,2.606748024580659,0.01766438623042578,1.9896679316838974,4.6242231805682,0.7616964769368181
Target_011,10.000000000000004,0.0329760960775358,-0.0568091134853132,-0.1889055364792094,0.016611453930762653,-0.028617152536488673,-0.16820064451228642,0.038617104061464055,38.617104061464055,0.1648804803876792,-0.2840455674265663,-0.9445276823960472,3.20419398073305,2.2102537542234915,0.783396355553283,1.0915802570987099,2.710575652391469
