layout,targets,mean_error_mm,rmse_error_mm,max_error_mm
inset_070,841,0.058531857930129765,0.06613533127452197,0.20572579450363296
inset_075,841,0.05777133115414386,0.06659215259302562,0.22183199200958217
inset_080,841,0.05692305321975931,0.06620829850614288,0.21661025542720216
inset_085,841,0.058528193722966707,0.06972229146856643,0.2843750009791029
inset_090,841,0.05817222218245065,0.07008230976799565,0.25682996038373
inset_095,841,0.05830206554729235,0.07102880189897509,0.2781270392765807
inset_100,841,0.05876547089509745,0.0735655840012209,0.29556002813546567
inset_105,841,0.06148625605588705,0.07859927721248243,0.3456939551010934
inset_110,841,0.06351066227368679,0.08330553581053991,0.30729409244792133
