trial,mean_position_error_mm,max_position_error_mm,mean_force_error_N,max_force_error_N
1,0.06691327932120798,0.24220229443227198,0.0017654549142462506,0.007378865345256891
2,0.015175253205483418,0.07219625443299503,0.0017106103754602547,0.009503320422810546
3,0.011044765054664276,0.03946074191326547,0.0009350499340822613,0.004125604469038535
4,0.03171908631251782,0.10600187081619597,0.0015488712386209642,0.007579912748075124
5,0.0038839099560329503,0.014184769821701412,0.002393357661838898,0.009242167446828375
6,0.04462937839474032,0.16779223923317638,0.0016470957561874223,0.006971423427839074
7,6.5458044434641325,137.42194910422452,0.004525406956566778,0.08479933080732463
8,0.014284159583354644,0.04108210881718606,0.001057695684273141,0.004362011130639942
9,0.006595617453101842,0.021632347558267477,0.001356946380769449,0.005587850462674737
10,0.363088298834265,2.083385733316791,0.0017405946941350856,0.03408661815744589
